Shipping Point,DepotLongitude,DepotLatitude,Ship to,CusLongitude,CusLatitude,Planned Delivery Date,DOW,Beginning1,Ending1,Beginning2,Ending2,Number of HUs,Dwell Time,Total Volume,Total Weight,AllowedTrucks
2513,123.933450191248,10.3159584600369,70012891,123.9118636,10.3410758,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.206,50.854,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70382288,123.8947265,10.31275246,2023-01-24,Tuesday,08:00,17:00,,,1.0,0.35,0.121,28.204,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012890,123.8936955,10.30956454,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.066,16.885,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012924,123.9182846,10.3098377,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.015,9.384,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012924,123.9182846,10.3098377,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.066,36.072,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012920,123.9391432,10.3355742,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.118,74.928,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012920,123.9391432,10.3355742,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.045,25.608,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012922,123.9487583,10.36215255,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.036,20.736,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70385954,123.9500282,10.35657953,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.082,33.408,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012907,123.9257324,10.32414991,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.561,282.24,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012918,123.9241934,10.31566949,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.038,21.712,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012665,123.8920937,10.31068309,2023-01-23,Monday,08:00,17:00,,,3.0,0.55,0.005,0.622,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012106,123.8991753,10.29479038,2023-01-30,Monday,08:00,17:00,,,4.0,0.65,0.205,116.026,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012106,123.8991753,10.29479038,2023-01-30,Monday,08:00,17:00,,,3.0,0.55,0.025,3.47,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012106,123.8991753,10.29479038,2023-01-30,Monday,08:00,17:00,,,3.0,0.55,0.122,28.761,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012106,123.8991753,10.29479038,2023-01-30,Monday,08:00,17:00,,,3.0,0.55,0.021,4.348,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012106,123.8991753,10.29479038,2023-01-30,Monday,08:00,17:00,,,3.0,0.55,0.134,14.644,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012106,123.8991753,10.29479038,2023-01-30,Monday,08:00,17:00,,,1.0,0.35,0.001,0.301,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012890,123.8936955,10.30956454,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.017,10.68,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012890,123.8936955,10.30956454,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.012,6.96,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70382288,123.8947265,10.31275246,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.156,39.878,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70382288,123.8947265,10.31275246,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.067,30.288,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012891,123.9118636,10.3410758,2023-01-24,Tuesday,08:00,17:00,,,2.0,0.45,0.093,25.066,"{AUV, 4w, 6w, 10w, 40ft}"
