"#{""t_start"": 1766644727.1364343"," ""env_id"": ""None""}",
r,l,t
3.9509342,12,1242.110478
3.8252807,8,1242.373587
3.6828103,7,1247.773174
3.809217,5,1247.773691
4.227812,6,1250.967943
4.1717763,16,1250.968258
4.0224543,20,1251.698828
3.864645,10,1252.769127
3.5202703,2,1254.807622
3.6446965,6,1254.996894
1.573055,3,1254.997239
3.7704346,32,1258.838024
4.1065674,18,1260.58326
4.0957656,11,1261.465221
3.8207822,9,1264.511196
2.8438997,1,1265.030041
3.4268043,2,1265.745957
1.295581,1,1265.746266
3.7143636,3,1266.436505
1.5635118,1,1266.856873
2.9569683,2,1268.972713
4.1126795,2,1269.479047
3.7388496,7,1269.479403
4.2892284,4,1272.418841
2.9586718,3,1272.419148
3.6656497,19,1273.626579
3.6227574,6,1273.6271
2.273622,1,1274.947567
2.7380495,1,1274.947943
2.4439702,3,1274.948116
1.5137255,1,1275.253231
3.9215379,4,1275.253553
0.6833325,1,1275.522563
2.8036854,1,1275.522887
1.4475048,1,1275.754714
4.2649446,10,1276.287313
2.5265162,1,1277.481721
1.5084238,1,1277.482006
2.7219017,3,1282.008444
3.7108822,6,1282.008759
1.0182866,1,1282.426577
4.0616007,7,1282.426878
2.9513607,7,1282.911175
1.8941442,1,1285.090631
3.4605234,7,1285.335122
3.4060185,4,1285.588458
1.2463005,1,1285.588775
3.9032636,22,1286.892226
1.8702959,1,1286.892495
4.1480985,4,1288.764182
2.5213237,2,1288.764531
0.61524904,1,1288.983459
3.966854,7,1289.317228
2.1925538,3,1289.60148
4.069015,8,1289.604363
3.055183,2,1291.472897
2.052194,3,1291.473206
2.2643857,1,1291.726366
3.8227553,3,1293.388166
0.46341947,2,1294.844993
3.7953022,10,1298.973869
3.838554,4,1304.588648
3.518945,7,1307.8126
3.7739346,5,1311.665589
3.3038213,19,1313.766836
4.9328465,11,1313.767214
2.5035887,2,1321.667838
3.646512,6,1321.66816
2.7050962,2,1323.874459
3.0109024,3,1326.982129
3.3132858,6,1326.982432
4.4714437,16,1329.396295
3.8064926,8,1329.7154
2.8783553,1,1331.575931
4.0961776,21,1334.925874
3.5105162,22,1340.100362
3.1427002,3,1342.472509
4.543118,5,1342.472843
3.8574736,5,1342.472992
3.4368339,6,1342.473086
3.2359366,25,1344.325186
4.4616346,6,1347.107409
0.56870383,1,1350.892539
3.2945302,13,1354.309284
2.9079132,2,1355.006182
3.2323484,2,1355.00646
3.3690643,32,1357.834368
3.9371564,4,1359.362126
