#{"t_start": 1766685730.0247612, "env_id": "None"}
r,l,t
3.3717148,7,13371.192249
3.539304,7,13371.192678
3.705321,9,13408.004217
4.472246,17,13408.005177
3.897819,22,13423.675361
3.9106379,5,13436.318434
4.138034,11,13451.234384
3.0597987,23,13456.201027
3.5158622,6,13456.201325
3.9976778,3,13468.924743
3.4216676,18,13520.651372
4.1749425,34,13543.67856
4.194503,17,13543.678937
4.2027464,24,13564.270034
3.503103,5,13572.986241
3.3834486,3,13577.598253
3.0166929,1,13586.917485
3.820569,2,13599.063568
3.4202368,13,13624.111834
4.011164,6,13624.112278
3.8070261,11,13667.891622
3.3835914,36,13679.542931
3.8090494,49,13749.369186
3.688457,26,13766.842857
2.8211112,23,13766.84332
2.1027017,2,13775.810051
3.0316453,42,13786.87876
1.957843,1,13792.775495
3.7153065,6,13792.77596
3.3194234,20,13823.014799
3.498284,11,13835.236269
4.64519,16,13840.248113
1.6128103,1,13840.248544
4.1842217,8,13852.92996
0.423113,1,13854.334769
4.3682623,11,13873.45009
3.9290855,4,13890.433573
4.452826,16,13896.346802
3.1197646,29,13899.16844
3.1417856,3,13909.023497
4.1661773,15,13950.061541
4.4725986,4,13962.280869
3.6429055,29,13970.899098
3.8964772,17,13975.348944
3.6812565,4,13977.53206
3.9818625,23,13977.53245
2.3023486,1,13977.783142
3.4847353,5,13983.157939
3.087895,2,13988.17926
4.0466614,11,14014.869199
3.4429908,13,14046.803326
3.7747407,7,14053.629496
3.9001672,20,14058.514542
3.6929483,2,14058.514951
4.202269,28,14079.745443
4.249216,10,14126.564089
4.523204,11,14126.564584
3.6161973,4,14142.175707
3.1349156,18,14154.866198
3.805791,17,14166.376619
3.5451617,2,14178.032444
4.5600653,14,14189.538577
3.5720983,3,14193.683625
3.9943147,23,14241.026958
3.7690926,17,14265.904042
4.462658,7,14290.840228
3.3953626,14,14308.186141
3.7292569,4,14319.200571
3.7756128,31,14325.10205
1.595938,2,14327.30605
4.069184,10,14332.095231
4.7036014,8,14360.31147
3.567064,50,14366.530292
3.6074116,11,14366.530831
4.162219,8,14402.099243
3.971361,10,14402.099978
2.7964745,2,14418.697225
4.643998,11,14423.370637
3.9670367,4,14431.100741
4.1256595,5,14438.278334
3.2895625,40,14493.711086
4.22637,3,14502.845506
4.0193753,20,14521.026776
3.8932002,4,14522.556919
3.3720348,4,14545.130121
3.2723684,29,14571.440324
3.5988333,10,14589.652544
3.9444602,8,14611.051613
2.9254472,20,14614.449193
3.3228414,2,14621.575042
3.8324406,7,14621.575406
2.7482793,4,14624.741498
3.0628822,3,14634.084201
3.5642784,3,14642.832287
3.4146256,57,14654.309541
2.5131705,1,14660.72315
4.3522635,5,14665.135731
4.190043,13,14725.592314
3.0784194,26,14737.014574
2.8823934,3,14740.213367
3.0896547,3,14749.319505
4.5205503,26,14757.770023
3.3659146,7,14758.160581
4.422871,9,14793.307155
3.4138536,51,14812.774511
4.3237414,27,14819.750311
3.7366412,14,14848.33291
3.219424,3,14858.631257
3.4819508,28,14860.95707
3.899602,14,14872.359694
3.582343,28,14926.227129
3.483154,22,14947.912974
4.244185,5,14947.913392
4.0743904,25,14979.734662
4.667731,8,14985.323575
3.7933533,8,15022.533261
3.8600643,8,15022.788524
3.364758,22,15037.161859
2.0048249,2,15045.751926
4.143852,5,15063.842093
3.2823236,58,15092.556296
3.884376,9,15097.317021
3.5501773,2,15101.438854
2.2000842,1,15101.439344
3.8396442,2,15115.736908
2.564921,1,15117.340052
4.0130177,8,15135.838967
3.1276677,32,15138.855693
3.360809,33,15138.856243
3.193547,3,15149.99947
3.6511729,11,15194.658411
