#{"t_start": 1766670828.3623374, "env_id": "None"}
r,l,t
4.930158,76,2249.491211
5.064977,59,2254.331073
4.7774973,66,2257.465382
4.8231106,82,2266.051925
3.8301506,100,2270.663064
4.6899376,83,2272.66137
3.6330323,100,2280.951766
4.8751493,80,2282.833067
2.5148802,69,2286.992064
3.7299864,100,2292.907635
4.851904,73,2296.204659
4.864004,81,2299.448192
4.988136,60,2299.909641
4.8688717,70,2310.654598
3.8162527,100,2313.031393
4.822023,78,2315.843185
1.5542537,100,2320.990231
3.5826154,100,2330.451496
4.2702274,88,2330.451812
4.843533,73,2330.895355
4.849022,54,2330.895649
4.6053786,70,2345.040514
4.9854116,79,2347.677299
4.629983,83,2348.212146
3.9055395,100,2353.035743
3.8426955,100,2367.067712
3.9880488,97,2368.584923
3.807784,100,2369.512273
3.8109975,100,2372.747368
2.851869,62,2379.230631
4.6917806,60,2385.627622
3.511134,100,2388.50049
3.7355049,100,2389.321908
4.9093966,78,2396.163714
4.8951473,21,2400.033425
4.942626,73,2400.860233
4.833468,65,2403.319654
4.9824696,35,2408.854574
3.69487,100,2410.902031
3.7209778,100,2421.035718
4.616233,65,2422.298604
4.834432,67,2425.373435
3.8790338,100,2425.923491
4.9865365,57,2433.8503
2.4235795,85,2442.564015
3.7320259,100,2442.788731
3.7220216,100,2445.945308
4.8419495,69,2448.437987
4.9837704,63,2456.49244
4.3020473,89,2461.201387
4.886044,76,2462.161642
3.85062,100,2470.886494
3.7857752,100,2476.811497
4.843937,79,2479.910414
3.6731033,100,2484.816871
4.866075,71,2487.422256
4.934051,42,2488.242896
4.849174,62,2501.250027
3.7934399,97,2502.470598
4.6636925,75,2504.682878
3.6357453,100,2506.283296
5.1049733,37,2509.803264
4.9761224,28,2513.00155
3.911611,4,2514.309599
3.902542,100,2522.259106
4.31647,89,2523.378723
3.6962976,100,2531.896783
3.8341937,94,2533.379971
2.3792872,1,2533.617632
4.8987412,73,2538.669681
3.6400182,100,2543.667623
3.7300766,100,2551.526379
1.6183091,100,2553.187516
3.7271178,100,2560.457373
3.8187494,100,2564.179868
4.987938,59,2564.577711
4.905354,72,2568.729149
5.02706,48,2569.260505
1.7379428,100,2583.552561
3.700386,100,2583.913536
4.4061713,86,2585.925061
1.8660911,100,2590.512997
4.866396,59,2596.507417
3.9050312,100,2605.675323
1.6647955,100,2607.605828
4.306392,89,2608.852173
4.7812486,60,2609.986841
2.4407997,3,2610.592633
4.9072766,22,2611.994911
4.882537,44,2620.747848
4.7116485,65,2625.959817
3.7910733,99,2626.369209
3.5550568,100,2629.325404
4.837488,31,2636.883297
4.2164063,88,2638.622079
4.607256,24,2641.392709
3.996392,96,2645.936649
3.7311757,100,2646.610373
4.903065,29,2647.679291
4.804928,55,2650.805431
4.823203,68,2665.483163
4.6723933,84,2665.483467
3.713502,100,2668.947343
3.782209,100,2669.527745
4.9155455,36,2672.223045
4.94091,42,2678.762796
1.8290725,1,2679.135489
4.944338,75,2681.41864
4.315316,88,2687.018247
5.00787,48,2688.277775
3.6566837,100,2694.353837
3.9176126,100,2702.95331
4.2356143,90,2708.266091
1.5268587,100,2711.934868
3.5629706,100,2716.532647
4.9772987,69,2717.999518
4.95033,63,2721.594575
4.9340405,58,2731.031389
4.775142,75,2732.668468
3.777982,100,2732.903056
5.0735517,14,2735.516761
2.314821,1,2735.90236
3.7551744,100,2743.658805
4.637279,74,2747.02033
4.726418,66,2750.493546
3.883444,100,2755.735883
4.75142,73,2759.426379
4.7209573,75,2766.690537
3.8428376,96,2768.120896
4.992258,10,2770.877695
4.789197,57,2772.252614
4.658962,84,2773.358035
4.8677826,25,2778.030778
3.7554653,100,2789.292293
4.9775686,12,2791.565113
3.6533024,100,2792.050404
3.8207688,100,2793.50842
5.0747857,26,2798.514464
2.9858358,8,2800.759827
3.7039676,100,2801.692971
5.062902,13,2804.314639
4.5164146,85,2813.559542
3.803059,100,2815.209441
2.7740138,72,2816.760847
4.9247003,7,2818.259117
4.8457527,70,2819.764907
4.9303255,45,2823.755186
4.2717586,89,2832.846028
4.7614975,74,2834.031082
4.236926,91,2839.099212
3.8348498,100,2847.021805
4.564683,84,2852.505921
4.8465014,61,2852.933863
3.514994,100,2854.412055
4.6323733,83,2864.836923
4.8175974,82,2870.848715
3.5110376,100,2875.211435
3.586934,100,2877.139863
4.964944,38,2882.335527
4.134549,92,2883.969949
4.6382704,81,2889.266922
3.960076,96,2897.22179
4.888301,55,2900.158087
4.2771735,15,2900.5272
4.5761347,74,2900.5275
3.5633442,100,2905.587409
4.8232155,53,2912.507745
4.9549327,63,2914.874538
4.891346,60,2919.178022
4.86886,79,2919.790431
5.148498,27,2925.672758
4.8570175,62,2929.474923
2.0637643,91,2934.7508
4.4702168,2,2935.197746
3.792954,100,2941.568161
4.9640684,62,2943.247329
3.6830368,100,2947.863436
4.93783,26,2950.224306
4.853279,77,2951.885905
3.8358347,94,2961.544797
4.992284,68,2965.890753
1.6960409,97,2967.97651
4.706469,11,2970.167681
3.726722,100,2970.400251
5.0199623,42,2970.928559
4.051785,7,2972.288315
3.1815302,5,2973.377926
4.83545,40,2980.17483
3.8215575,100,2986.543234
4.884881,43,2987.7249
3.808537,100,2991.489635
3.781242,100,2995.331569
5.0552363,18,2995.966389
4.781492,68,3002.656203
4.860372,81,3004.080381
4.916068,67,3010.358965
2.7357795,27,3011.16127
3.577491,4,3011.161556
3.9572437,94,3016.168372
4.9707556,15,3018.931827
3.6518114,100,3025.901007
4.0876107,92,3030.824824
3.7635205,100,3032.406554
4.742687,12,3034.832228
3.7990694,100,3042.076227
4.5530915,14,3044.896806
4.8650475,64,3045.136719
3.7536247,100,3047.175491
4.4621935,88,3055.705353
4.638835,50,3056.708241
4.8319163,61,3058.756921
2.5872118,17,3059.00146
4.9316773,15,3061.646281
3.6336544,100,3069.896823
4.8148627,56,3071.342176
4.935744,16,3073.13817
3.8285756,96,3077.169902
3.6228316,100,3084.66515
4.878249,54,3085.581621
5.0122566,32,3091.413947
3.661904,100,3092.459023
4.7925506,58,3096.633762
4.8428206,31,3099.361874
1.5246354,100,3099.971868
5.028914,47,3103.285367
4.7607336,69,3111.192395
3.8259645,100,3119.697776
4.7142,82,3120.375869
3.7161102,100,3120.376194
4.5960336,75,3127.48234
4.8660345,54,3132.54828
4.8124466,76,3136.250265
3.8219142,100,3142.8512
4.696202,81,3145.259758
4.9932556,53,3149.893046
3.9817193,94,3154.243805
4.8804836,76,3161.419148
5.069591,52,3161.849637
5.0009294,73,3163.067438
5.115492,15,3164.197411
4.748618,55,3176.037583
4.5157046,69,3176.218084
3.6809096,100,3176.467638
3.8006134,100,3183.818367
4.847744,69,3191.558496
4.315753,88,3195.282431
4.862143,60,3197.032675
1.5132414,100,3197.273924
2.4872124,60,3204.700862
4.7914824,34,3205.551685
4.908967,65,3209.375756
3.8662646,100,3218.963904
4.899428,67,3219.333664
2.783055,79,3220.904579
4.862615,56,3221.355591
4.205296,15,3223.903913
4.938237,48,3228.284782
4.6326537,6,3229.718791
4.9474435,57,3231.676326
4.892085,60,3237.485048
3.9329925,100,3242.583855
4.733186,62,3244.646408
3.8770769,100,3252.714055
4.8353972,73,3253.620664
4.9081345,47,3263.662506
3.8184037,100,3265.691284
3.7908916,98,3266.959286
3.8196263,100,3274.032792
4.788497,47,3276.641485
5.0472345,56,3277.25221
4.8427415,70,3278.186632
4.5235276,44,3285.785923
4.940481,58,3288.109553
4.8810444,12,3291.393546
3.8662434,100,3296.628691
4.2692375,89,3297.055618
4.294579,86,3303.823922
2.6359982,77,3307.921414
4.735831,60,3309.607245
